BOOKING,WK_TYPE,TIME_PERIOD,TIME_PERIOD_SORT,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP_ID_NEAR,STOP,TRAVEL_DIRECTION,TIMEPOINT,AVG_SEGMENT_MILES,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,AVG_PASSENGER_MILES,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,AVG_SERVICED,MAX_LOAD_P,LAT,LON,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,AVG_SEGMENT_KM
2019-05,SUN,AM Early,1,5,5:5,WEST,,,,,470,3609,3609,Cary/Nansemond,E,0,0,,,,,,0,0,36,1,4,0,0,0,0,0,1,146,0,1,0,0,4,0,0,0,0,2,0,0,0,0.25,0.108108108,37.555349,-77.486931,0,,4,4,0
2019-05,SUN,AM Early,1,5,5:5,WEST,,,,,470,99999,3609,,,0,0,,,,,2.02,0,0,35,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1,1,0
2019-05,SUN,AM Early,1,12,12:12,WEST,,,,,10,100391,100391,23-FR,X,-1,,,,0,0,,0,0,35,0,0,,0,0,0,0,0,142,0,0,0,0,0,,0,0,0,0,,,,0,0,37.531012,-77.422258,,,4,4,
2019-05,SUN,AM Early,1,12,12:12,WEST,,,,,20,3373,3373,23rd/Franklin,W,0,0.294318182,,,,,,0,0,35,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.530838,-77.422331,0,,3,3,0.4736592
2019-05,SUN,AM Early,1,12,12:12,WEST,,,,,20,99999,2632,,,0,0,,,,,0.2075,1,0,37,2,4,0,0,0,0,4,0,148,4,0,0,0,10,0,0,0,0,6,0,0,0,1,0.108108108,,,0,,4,4,0
2019-05,SUN,AM Early,1,12,12:12,WEST,,,,,20,99999,3428,,,0,0,,,,,0.07,0,0,37,4,4,0,0,0,0,0,0,37,0,0,0,1,4,0,0,0,0,10,0,0,0,0,0.108108108,,,0,,1,1,0
2019-05,SUN,AM Early,1,12,12:12,WEST,,,,,30,3613,3613,25th/BROAD,N,0,0.209848485,,,,,0,0,0,35,1,4,0.209848485,0,0,0,0,0,142,0,0,0,0,4,0.839393939,0,0,0,2,0,0,0,0,0.105263158,37.531707,-77.41863,0,,4,4,0.3377184
2019-05,SUN,AM Early,1,12,12:12,WEST,,,,,40,974,974,25TH/LEIGH,E,0,0.196590909,,,,,0,0,0,35,1,4,0.196590909,0,0,0,0,0,142,0,0,0,0,4,0.786363636,0,0,0,2,0,0,0,0,0.105263158,37.534142,-77.41634,0,,4,4,0.3163824
2019-05,SUN,AM Early,1,12,12:12,WEST,,,,,50,100450,100450,M-27,X,-1,,,,,,0.4175,0,0,35,1,4,,0,0,0,0,0,142,0,0,0,0,4,,0,0,0,2,,,,0,0.105263158,37.533992,-77.413658,,,4,4,
2019-05,SUN,AM Early,1,12,12:12,WEST,,,,,60,214,214,M/27TH,E,0,0.155492424,,,,,0,0,0,35,1,4,0.155492424,0,0,0,0,0,142,0,0,0,0,4,0.621969697,0,0,0,2,0,0,0,0,0.105263158,37.534043,-77.413907,0,,4,4,0.2502408
