AVG_PASSENGERS_OFF,AVG_PASSENGERS_ON,AVG_PASSENGER_MILES,AVG_SEGMENT_MILES,SUM_PASSENGERS_OFF,SUM_PASSENGERS_ON,SUM_PASSENGER_MILES,TIME_PERIOD_SORT,TRIPS_COUNT,SERVICE_TYPE
0,0,1.273200758,0.509280303,0,8,12.73200758,1,10,0
0,0,0.424242424,0.121212121,0,1,0.848484848,1,2,0
0,0,0.387878788,0.121212121,0,7,3.878787879,1,10,0
0,1,2.117424242,0.423484848,0,3,4.234848485,1,2,0
0,1,1.990378788,0.423484848,1,16,19.90378788,1,10,0
0,0,1.325757576,0.265151515,1,1,2.651515152,1,2,0
0,2,1.75,0.265151515,3,22,17.5,1,10,0
0,1,3.222727273,0.537121212,0,2,6.445454545,1,2,0
0,1,4.082121212,0.537121212,0,10,40.82121212,1,10,0
0,0,5.298484848,0.815151515,0,1,10.5969697,1,2,0
0,1,6.765757576,0.815151515,3,10,67.65757576,1,10,0
0,0,1.959848485,0.301515152,0,0,3.91969697,1,2,0
0,0,2.562878788,0.301515152,0,2,25.62878788,1,10,0
1,0,2.189583333,0.398106061,2,0,4.379166667,1,2,0
1,0,2.906174242,0.398106061,14,2,29.06174242,1,10,0
0,0,8.328125,1.514204545,0,0,16.65625,1,2,0
0,0,11.05369318,1.514204545,0,0,110.5369318,1,10,0
0,0,4.794791667,0.871780303,0,0,9.589583333,1,2,0
0,0,5.75375,0.871780303,7,0,57.5375,1,10,0
3,0,0,0,7,0,0,1,2,0
4,0,0,0,49,0,0,1,10,0
5,0,0,0,10,0,0,1,2,0
3,0,0,0,6,0,0,1,2,0
0,0,0.26715035,0.294318182,0,21,17.36477273,2,65,0
0,0,0.162575758,0.18219697,1,0,10.56742424,2,65,0
0,0,0.114749417,0.128598485,0,0,7.458712121,2,65,0
0,0,0.113461538,0.125,0,1,7.375,2,65,0
0,0,0.111369464,0.124810606,2,1,7.239015152,2,65,0
0,0,0.11363345,0.125189394,0,1,7.386174242,2,65,0
0,0,0.193572261,0.213257576,0,0,12.58219697,2,65,0
0,0,0.140775058,0.157765152,1,0,9.150378788,2,65,0
0,2,0,0,0,4,0,2,2,0
0,0,0.094912587,0.101136364,1,0,6.169318182,2,65,0
0,1,0,0,0,1,0,2,1,0
0,0,0.141340326,0.137121212,0,5,9.187121212,2,65,0
0,1,0,0,0,2,0,2,2,0
0,0,0.188155594,0.163068182,1,7,12.23011364,2,65,0
1,0,0,0,2,0,0,2,2,0
0,0,0.181363636,0.151136364,0,5,11.78863636,2,65,0
1,0,0,0,3,0,0,2,3,0
0,0,0.311410256,0.262878788,0,2,20.24166667,2,65,0
0,1,0,0,0,1,0,2,1,0
0,1,0,0,1,41,0,2,27,0
0,0,0.208356643,0.114772727,0,0,13.54318182,2,65,0
0,0,0,0,5,0,0,2,65,0
0,0,0,0,0,0,0,2,11,0
0,0,0.598973607,0.287878788,0,16,37.13636364,2,62,0
0,0,0.30913673,0.104734848,0,54,19.16647727,2,62,0
0,0,0.360795455,0.120265152,1,4,22.36931818,2,62,0
0,1,0,0,0,4,0,2,3,0
0,0,0.513391984,0.153030303,0,18,31.83030303,2,62,0
0,0,0.611638563,0.171590909,0,13,37.92159091,2,62,0
0,2,0,0,0,10,0,2,5,0
0,0,0.278531281,0.073484848,0,4,17.26893939,2,62,0
0,1,0,0,0,3,0,2,3,0
0,0,0.346086877,0.086174242,0,11,21.45738636,2,62,0
0,0,0.503268573,0.124810606,0,0,31.20265152,2,62,0
0,1,0,0,0,1,0,2,1,0
0,0,0.538251466,0.132954545,0,1,33.37159091,2,62,0
0,0,0.79280914,0.195833333,0,0,49.15416667,2,62,0
0,0,1.040466153,0.257007576,2,2,64.50890152,2,62,0
1,0,0,0,1,0,0,2,1,0
2,0,0.195967742,0.15,184,15,12.15,2,62,0
3,0,0,0,11,0,0,2,3,0
0,0,0,0,18,0,0,2,62,0
0,0,0,0,0,0,0,2,1,0
0,0,0.225814968,0.14469697,0,42,14.90378788,2,66,0
0,1,0,0,0,2,0,2,2,0
0,0,0,0,0,0,0,2,1,0
0,0,0.451073232,0.270643939,0,7,29.77083333,2,66,0
0,0,0.550284091,0.310416667,0,7,36.31875,2,66,0
0,2,0,0,0,2,0,2,1,0
0,0,0.134895833,0.098106061,0,0,1.079166667,2,8,0
0,0,0.216509927,0.098106061,0,20,12.55757576,2,58,0
0,0,0.501538826,0.211174242,6,25,32.09848485,2,64,0
1,1,0,0,1,1,0,2,1,0
0,1,0,0,0,3,0,2,2,0
0,0,0.277995868,0.113257576,1,2,18.34772727,2,66,0
0,0,0,0,0,0,0,2,1,0
0,1,0,0,0,1,0,2,1,0
0,0,0.272956841,0.109848485,0,1,18.01515152,2,66,0
0,0,1.054178145,0.424242424,0,0,69.57575758,2,66,0
1,0,0,0,1,0,0,2,1,0
2,0,0,0,2,0,0,2,1,0
0,0,0.535847107,0.194318182,14,35,35.36590909,2,66,0
0,3,0,0,0,3,0,2,1,0
0,0,0.329028926,0.103409091,2,27,21.71590909,2,66,0
0,1,0,0,1,4,0,2,3,0
0,0,0.461105372,0.134659091,0,13,30.43295455,2,66,0
0,1,0,0,0,1,0,2,1,0
0,0,1.709825528,0.503787879,4,1,112.8484848,2,66,0
2,1,0,0,2,1,0,2,1,0
0,0,0.806531221,0.231439394,21,28,53.23106061,2,66,0
0,0,0.668336777,0.194318182,0,1,44.11022727,2,66,0
2,0,0,0,4,0,0,2,2,0
0,0,0.780544077,0.22594697,0,1,51.51590909,2,66,0
0,0,0.995144628,0.288068182,0,0,65.67954545,2,66,0
0,1,0,0,0,3,0,2,3,0
0,0,0.600177916,0.168560606,0,4,39.61174242,2,66,0
0,0,6.032644628,1.701515152,1,0,398.1545455,2,66,0
0,1,0,0,0,1,0,2,1,0
0,0,0.731003214,0.20530303,0,0,48.24621212,2,66,0
0,0,0.677054637,0.190151515,0,0,44.68560606,2,66,0
0,0,0.329809458,0.092234848,0,1,21.76742424,2,66,0
1,0,0,0,2,1,0,2,2,0
0,0,0.871203512,0.242613636,1,3,57.49943182,2,66,0
0,0,0,0,3,1,0,2,5,0
0,0,0.520110193,0.145454545,0,1,34.32727273,2,66,0
0,0,0,0,1,1,0,2,3,0
0,0,0.447974059,0.126893939,7,4,29.56628788,2,66,0
0,0,0,0,6,4,0,2,8,0
0,1,0,0,0,1,0,2,1,0
0,0,0.623151974,0.176515152,4,5,41.1280303,2,66,0
0,1,0,0,0,1,0,2,1,0
0,0,0.26344123,0.073674242,3,5,17.38712121,2,66,0
0,1,0,0,1,2,0,2,2,0
0,0,0.506198347,0.139204545,2,5,33.40909091,2,66,0
0,1,0,0,0,1,0,2,1,0
0,1,0,0,0,1,0,2,1,0
0,0,0.315082645,0.085227273,5,7,20.79545455,2,66,0
1,1,0,0,1,1,0,2,1,0
0,0,0.743595041,0.201136364,0,0,49.07727273,2,66,0
0,0,0.865013774,0.237878788,5,1,57.09090909,2,66,0
0,0,0,0,2,1,0,2,4,0
3,2,0,0,3,2,0,2,1,0
0,0,0.828168044,0.273295455,47,9,54.65909091,2,66,0
0,0,0.84993007,0.312121212,17,8,55.24545455,2,65,0
1,0,0,0,18,3,0,2,14,0
0,0,0,0,8,7,0,2,9,0
0,0,0.430716253,0.160606061,1,3,28.42727273,2,66,0
0,1,0,0,1,3,0,2,3,0
1,0,0,0,1,0,0,2,1,0
0,0,0.384354913,0.140151515,1,4,25.36742424,2,66,0
0,1,0,0,0,1,0,2,1,0
0,0,1.198605372,0.434659091,1,1,79.10795455,2,66,0
1,0,0,0,1,0,0,2,1,0
0,0,1.106528352,0.437310606,15,1,73.03087121,2,66,0
0,0,0.679522498,0.28030303,6,0,44.84848485,2,66,0
1,0,0,0,2,1,0,2,2,0
0,3,0,0,0,3,0,2,1,0
1,0,0,0,1,0,0,2,1,0
0,0,0.800137741,0.336363636,5,0,52.80909091,2,66,0
2,2,0,0,4,4,0,2,2,0
1,0,0,0,3,0,0,2,2,0
0,0,0.549971304,0.229734848,0,4,36.29810606,2,66,0
0,0,0.280653122,0.117234848,0,0,18.52310606,2,66,0
0,0,0.334848485,0.141666667,2,0,22.1,2,66,0
1,0,0,0,1,0,0,2,1,0
1,0,0,0,2,0,0,2,2,0
0,0,0.605429293,0.259469697,15,16,39.95833333,2,66,0
0,0,0.601010101,0.257575758,0,1,39.66666667,2,66,0
0,0,0,0,4,3,0,2,5,0
1,0,0,0,1,0,0,2,1,0
0,0,0.356359045,0.154734848,2,1,23.51969697,2,66,0
0,0,0.216190312,0.102651515,20,7,14.26856061,2,66,0
0,0,0.375206612,0.171969697,0,1,24.76363636,2,66,0
0,1,0,0,0,1,0,2,1,0
0,2,0,0,0,4,0,2,2,0
0,0,0.510961892,0.232575758,1,1,33.72348485,2,66,0
1,0,0,0,4,0,0,2,3,0
0,0,0.346332645,0.169318182,6,0,22.85795455,2,66,0
0,1,0,0,0,1,0,2,1,0
0,0,0.374529385,0.184469697,3,1,24.71893939,2,66,0
0,0,0,0,45,0,0,2,58,0
0,0,0,0,2,0,0,2,8,0
1,0,0,0,17,0,0,2,13,0
0,1,0.385859604,0.227840909,0,87,23.92329545,2,62,0
0,0,0.325487013,0.227840909,0,2,2.278409091,2,7,0
0,0,0.309415584,0.180492424,0,2,2.165909091,2,7,0
0,0,0.414244908,0.180492424,0,36,25.26893939,2,61,0
0,1,0,0,0,5,0,2,3,0
0,0,0.457905138,0.188068182,0,10,31.59545455,2,69,0
0,0,0.412650966,0.164583333,1,6,28.47291667,2,69,0
0,0,0.410628019,0.160984848,0,3,28.33333333,2,69,0
2,0,0,0,2,0,0,2,1,0
0,0,0.35916502,0.123295455,9,36,24.78238636,2,69,0
0,0,0.698814229,0.231818182,1,7,48.21818182,2,69,0
0,1,0,0,0,1,0,2,1,0
0,0,0.887854084,0.290340909,1,4,61.26193182,2,69,0
0,0,0.364706851,0.117045455,24,28,25.16477273,2,69,0
0,0,0.565201649,0.172348485,1,10,38.43371212,2,68,0
1,0,0,0,1,0,0,2,1,0
0,1,0,0,0,1,0,2,1,0
0,1,0,0,0,1,0,2,1,0
0,1,0,0,0,1,0,2,1,0
0,1,0,0,0,4,0,2,3,0
0,0,0.379800725,0.11344697,0,1,26.20625,2,69,0
0,1,0,0,0,4,0,2,4,0
0,0,0.274350649,0.096022727,0,0,1.920454545,2,7,0
0,0,0.332982038,0.096022727,0,0,20.64488636,2,62,0
0,0,1.006472332,0.296780303,3,2,69.44659091,2,69,0
0,0,0.828227931,0.243181818,1,2,57.14772727,2,69,0
0,0,2.012730567,0.583522727,3,6,138.8784091,2,69,0
0,0,0,0,1,1,0,2,2,0
0,0,1.418434343,0.35719697,8,44,97.8719697,2,69,0
0,0,0.915475406,0.241098485,13,0,63.16780303,2,69,0
0,0,0,0,1,2,0,2,3,0
0,0,0.825595238,0.304166667,1,0,5.779166667,2,7,0
0,0,1.177419355,0.304166667,5,3,73,2,62,0
1,0,0,0,3,0,0,2,3,0
0,1,0,0,0,1,0,2,1,0
0,0,0.440623628,0.11969697,9,6,30.4030303,2,69,0
0,0,0.730541831,0.212689394,27,10,50.40738636,2,69,0
1,0,0,0,33,1,0,2,22,0
0,0,0.811594203,0.242424242,6,32,56,2,69,0
0,0,0.558846618,0.172916667,2,1,38.56041667,2,69,0
1,0,0,0,8,1,0,2,6,0
0,0,0.269477383,0.089393939,17,2,18.59393939,2,69,0
0,0,0.342061924,0.117424242,9,2,23.60227273,2,69,0
0,0,0.403697299,0.150568182,16,0,27.85511364,2,69,0
0,3,0,0,0,3,0,2,1,0
0,0,0.416501976,0.159659091,8,0,28.73863636,2,69,0
0,0,0,0,0,0,0,2,1,0
0,1,0,0,0,1,0,2,1,0
0,0,0.539045345,0.205492424,0,0,37.19412879,2,69,0
1,0,0,0,3,1,0,2,3,0
1,0,0,0,1,0,0,2,1,0
0,0,0.544642857,0.254166667,0,0,3.8125,2,7,0
0,0,0.578024194,0.254166667,24,2,35.8375,2,62,0
1,0,0,0,1,0,0,2,1,0
0,0,1.061461388,0.470075758,0,0,65.81060606,2,62,0
0,0,0.940151515,0.470075758,1,0,6.581060606,2,7,0
1,0,0,0,1,0,0,2,1,0
0,0,0.455237154,0.20530303,0,0,31.41136364,2,69,0
0,1,0,0,0,1,0,2,1,0
0,0,0.353543588,0.16155303,4,1,24.39450758,2,69,0
1,0,0,0,3,0,0,2,3,0
0,0,4.104545455,2.052272727,0,0,28.73181818,2,7,0
0,0,4.303152493,2.052272727,4,0,266.7954545,2,62,0
0,0,0.357065217,0.16875,1,1,24.6375,2,69,0
0,1,0,0,0,1,0,2,1,0
0,1,0,0,0,1,0,2,1,0
0,0,0.31027668,0.148674242,3,1,21.40909091,2,69,0
0,0,0.396442688,0.189962121,0,0,27.35454545,2,69,0
0,0,0.536506368,0.25530303,1,2,37.01893939,2,69,0
0,0,0.478796113,0.227840909,0,0,33.03693182,2,69,0
0,0,0.259057971,0.125,5,3,17.875,2,69,0
0,0,0.636489899,0.309280303,3,2,43.91780303,2,69,0
0,0,0.524003623,0.252840909,0,1,36.15625,2,69,0
