BOOKING,WK_TYPE,TIME_PERIOD,TIME_PERIOD_SORT,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP_ID_NEAR,STOP,TRAVEL_DIRECTION,TIMEPOINT,AVG_SEGMENT_MILES,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,AVG_PASSENGER_MILES,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,AVG_SERVICED,MAX_LOAD_P,LAT,LON,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,AVG_SEGMENT_KM
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,110,2667,2667,FORD/SUSSEX,E,0,0.178219697,,,,,0,0,0,35,3,8,0.698027146,0,0,0,0,0,428,0,0,0,0,47,8.376325758,0,0,0,10,0,0,0,0,0.216216216,37.549965,-77.417667,0,,12,12,0.2868168
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,110,99999,1036,,,0,0,,,,,0.266,1,0,35,6,9,0,0,0,0,7,0,177,7,0,0,0,34,0,0,0,0,19,0,0,0,1,0.243243243,,,0,,5,5,0
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,120,1036,1036,FORD/MECHANICSVILLE PIKE,E,0,0.226704545,,,,,0.008333333,0,0,35,4,9,1.020170455,0,0,0,0,0,428,0,0,0,0,54,12.24204545,0,0,0,12,0,0,0,0,0.243243243,37.549555,-77.41448,0,,12,12,0.3648456
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,130,293,293,ACCOMODATION/GAY,W,0,0.131818182,,,,,0.008333333,0,0,35,4,9,0.604166667,0,0,0,1,0,428,1,0,0,0,55,7.25,0,0,0,12,0,0,0,0.083,0.243243243,37.548653,-77.417372,0,,12,12,0.2121408
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,130,99999,294,,,0,0,,,,,0.11,1,0,37,6,10,0,0,0,0,3,0,111,3,0,0,0,18,0,0,0,0,16,0,0,0,1,0.27027027,,,0,,3,3,0
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,140,294,294,COALTER/RICHMOND,S,0,0.13030303,,,,,0.018333333,0,0,35,5,10,0.651515152,0,0,0,2,0,428,2,0,0,0,60,7.818181818,0,0,0,14,0,0,0,0.166,0.27027027,37.547632,-77.418907,0,,12,12,0.2097024
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,150,295,295,COALTER/REDD,S,0,0.242992424,,,,,0.015,0,0,35,5,10,1.23521149,0,0,0,1,0,428,1,0,0,0,61,14.82253788,0,0,0,14,0,0,0,0.083,0.27027027,37.545883,-77.419662,0,,12,12,0.3910584
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,160,100025,100025,COR,X,-1,,,,,,1.3125,0,0,35,5,10,,0,0,0,0,0,428,0,0,0,0,61,,0,0,0,14,0,0,12,0,0.27027027,37.546082,-77.419426,1,,12,12,
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,170,2813,2813,MECHANICSVILLE PIKE/LITTLEPAGE,S,0,0.208712121,,,,,0.066666667,0,0,35,7,13,1.565340909,0,0,0,7,0,428,7,0,0,0,90,18.78409091,0,0,0,21,0,0,0,0.25,0.351351351,37.5438,-77.417341,0,,12,12,0.3358896
2018-06,SAT,AM Early,1,5,5:5,WEST,,,,,170,99999,295,,,0,0,,,,,0.44,1,0,35,8,10,0,0,0,0,3,0,71,3,0,0,0,16,0,0,0,0,22,0,0,0,1,0.27027027,,,0,,2,2,0
