BOOKING,WK_TYPE,TIME_PERIOD,TIME_PERIOD_SORT,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP_ID_NEAR,STOP,TRAVEL_DIRECTION,TIMEPOINT,AVG_SEGMENT_MILES,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,AVG_PASSENGER_MILES,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,AVG_SERVICED,MAX_LOAD_P,LAT,LON,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,AVG_SEGMENT_KM
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,10,3025,,WILLOW LAWN BRT STATION,,0,0.483333333,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.7778496
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,20,100378,,BRTWLA,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,30,3040,,EB STAPLES MILL BRT STATION,,0,1.363257576,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,2.1939504
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,40,3027,,EB SCOTT'S ADDITION BRT STATION,,0,0.418560606,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.673608
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,50,3028,,EB SCIENCE MUSEUM BRT STATION,,0,0.434469697,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.6992112
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,60,100388,,SCIMUS,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,70,3029,,EB ALLISON ST BRT STATION,,0,0.788257576,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,1.2685776
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,80,3030,,EB VCU/VUU BRT STATION,,0,0.555871212,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.894588
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,90,3031,,EB ARTS DISTRICT BRT STATION,,0,0.312310606,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.5026152
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,100,100375,,ARTDIS,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,110,3085,,EB CONVENTION CENTER BRT STATION,,0,0.252272727,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.4059936
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,120,3086,,EB GOVERNMENT CENTER BRT STATION,,0,0.214393939,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.3450336
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,130,100384,,GOVCTR,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,140,3087,,EB VCU MEDICAL CENTER BRT STATION,,0,0.544507576,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.8763
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,150,3035,,EB MAIN STREET STATION BRT STATION,,0,0.485795455,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.781812
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,160,100387,,MAINST,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,170,3036,,EB SHOCKOE BOTTOM BRT STATION,,0,0.657007576,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,1.0573512
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,180,100389,,SHKBTM,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,190,3037,,EB EAST RIVERFRONT BRT STATION,,0,0.335984848,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.5407152
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,200,3012,,ROCKETTS LANDING BRT STATION,,0,0,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0
2018-06,SUN,,,108,PULSE,East,Richmond,Local,,Bus,210,100377,,BRTORL,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,10,3012,,ROCKETTS LANDING BRT STATION,,0,0.361742424,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.582168
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,20,100377,,BRTORL,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,30,3013,,WB EAST RIVERFRONT BRT STATION,,0,0.660227273,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,1.0625328
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,40,3014,,WB SHOCKOE BOTTOM BRT STATION,,0,0.566098485,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.9110472
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,50,100389,,SHKBTM,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,60,3088,,WB MAIN STREET STATION BRT STATION,,0,0.509280303,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.8196072
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,70,100387,,MAINST,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,80,3089,,WB VCU MEDICAL CENTER BRT STATION,,0,0.121212121,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.195072
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,90,3017,,WB GOVERNMENT CENTER BRT STATION,,0,0.423484848,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.6815328
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,100,100384,,GOVCTR,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,110,3090,,WB CONVENTION CENTER BRT STATION,,0,0.265151515,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.42672
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,120,3091,,WB ARTS DISTRICT BRT STATION,,0,0.537121212,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,0.8644128
2018-06,SUN,,,108,PULSE,West,Richmond,Local,,Bus,130,100375,,ARTDIS,X,-1,,,,0,0,,0,0,,,,,,,,0,0,,,,,,,,,,,,0,0,0,,,,,0,,1,1,
