BOOKING,WK_TYPE,TIME_PERIOD,TIME_PERIOD_SORT,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP_ID_NEAR,STOP,TRAVEL_DIRECTION,TIMEPOINT,AVG_SEGMENT_MILES,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,AVG_PASSENGER_MILES,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,AVG_SERVICED,MAX_LOAD_P,LAT,LON,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,AVG_SEGMENT_KM
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,10,100436,100436,CR-NA,X,-1,,,,,,,0,0,37,0,0,,0,0,0,0,0,111,0,0,0,0,0,,0,0,0,0,,,,0,0,37.555252,-77.486558,,,3,3,
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,20,3609,3609,Cary/Nansemond,E,0,0.133333333,,,,,,1,0,37,1,3,0.222222222,0,0,0,5,0,111,5,0,0,0,5,0.666666667,0,0,0,4,0,0,0,1,0.078947368,37.555349,-77.486931,0,,3,3,0.2145792
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,30,3604,3604,Cary/Freeman,E,0,0.150757576,,,,,0,0,0,37,1,3,0.251262626,0,0,0,0,0,111,0,0,0,0,5,0.753787879,0,0,0,4,0,0,0,0,0.078947368,37.554544,-77.484724,0,,3,3,0.2426208
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,40,3608,3608,Cary/McCloy,E,0,0.133333333,,,,,0.033333333,0,0,37,2,4,0.266666667,0,0,0,1,0,111,1,0,0,0,6,0.8,0,0,0,5,0,0,0,0.333,0.105263158,37.55365,-77.482218,0,,3,3,0.2145792
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,50,331,331,CARY/BELMONT,E,0,0.087878788,,,,,0,0,0,37,2,4,0.175757576,0,0,0,0,0,111,0,0,0,0,6,0.527272727,0,0,0,5,0,0,0,0,0.105263158,37.552827,-77.480022,0,,3,3,0.1414272
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,60,332,332,CARY/SHEPPARD,E,0,0.127272727,,,,,0,0,0,37,2,4,0.254545455,0,0,0,0,0,111,0,0,0,0,6,0.763636364,0,0,0,5,0,0,0,0,0.105263158,37.552382,-77.478512,0,,3,3,0.2048256
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,60,99999,333,,,0,0,,,,,0.05,1,0,35,2,2,0,0,0,0,1,0,35,1,0,0,0,2,0,0,0,0,5,0,0,0,1,0.057142857,,,0,,1,1,0
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,70,333,333,CARY/BOULEVARD,E,0,0.160416667,,,,,0.016666667,0,0,37,2,5,0.427777778,0,0,0,1,0,111,1,0,0,0,8,1.283333333,0,0,0,7,0,0,0,0.333,0.131578947,37.551618,-77.476405,0,,3,3,0.2581656
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,80,100437,100437,CR-ROB,X,-1,,,,,,0.483333333,0,0,37,2,5,,0,0,0,0,0,111,0,0,0,0,8,,0,0,0,7,,,,0,0.131578947,37.550752,-77.473908,,,3,3,
2019-05,SAT,AM Early,1,5,5:5,EAST,,,,,90,3473,3473,Cary/Robinson,E,0,0.2,,,,,0,0,0,37,2,5,0.533333333,0,0,0,0,0,111,0,0,0,0,8,1.6,0,0,0,7,0,0,0,0,0.131578947,37.550647,-77.473743,0,,3,3,0.3218688
