BOOKING,WK_TYPE,TIME_PERIOD,TIME_PERIOD_SORT,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP_ID_NEAR,STOP,TRAVEL_DIRECTION,TIMEPOINT,AVG_SEGMENT_MILES,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,AVG_PASSENGER_MILES,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,AVG_SERVICED,MAX_LOAD_P,LAT,LON,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,AVG_SEGMENT_KM
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,10,3609,3609,Cary/Nansemond,E,0,0.133333333,,,,,,0,0,36,0,2,0.017777778,0,0,0,2,0,549,2,0,0,0,2,0.266666667,0,0,0,0,0,0,0,0.066,0.052631579,37.555349,-77.486931,0,,15,15,0.2145792
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,20,100436,100436,CR-NA,X,-1,,,,,,,0,0,36,0,2,,0,0,0,0,0,549,0,0,0,0,2,,0,0,0,0,,,,0,0.052631579,37.555252,-77.486558,,,15,15,
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,30,3604,3604,Cary/Freeman,E,0,0.150757576,,,,,0,0,0,36,0,2,0.02010101,0,0,0,0,0,549,0,0,0,0,2,0.301515152,0,0,0,0,0,0,0,0,0.052631579,37.554544,-77.484724,0,,15,15,0.2426208
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,30,99999,3608,,,0,0,,,,,3.554,1,0,36,0,1,0,0,0,0,5,3,181,5,4,0,0,2,0,1,0,0,1,0,0,0,0.8,0.027027027,,,0,,5,5,0
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,40,3608,3608,Cary/McCloy,E,0,0.133333333,,,,,0,0,0,36,0,2,0.035555556,0,0,0,0,0,549,0,0,0,0,4,0.533333333,0,0,0,0,0,0,0,0,0.052631579,37.55365,-77.482218,0,,15,15,0.2145792
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,50,331,331,CARY/BELMONT,E,0,0.088068182,,,,,0.026666667,0,0,36,0,2,0.035227273,0,0,0,2,0,549,2,0,0,0,6,0.528409091,0,0,0,1,0,0,0,0.066,0.052631579,37.552827,-77.480022,0,,15,15,0.141732
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,60,332,332,CARY/SHEPPARD,E,0,0.126893939,,,,,0,0,0,36,0,2,0.050757576,0,0,0,0,0,549,0,0,0,0,6,0.761363636,0,0,0,1,0,0,0,0,0.052631579,37.552382,-77.478512,0,,15,15,0.204216
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,70,333,333,CARY/BOULEVARD,E,0,0.160416667,,,,,0.035333333,0,0,36,1,2,0.181805556,0,0,0,11,0,549,11,0,0,0,17,2.727083333,0,0,0,3,0,0,0,0.6,0.052631579,37.551618,-77.476405,0,,15,15,0.2581656
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,80,3473,3473,Cary/Robinson,E,0,0.2,,,,,0.041333333,0,0,36,1,3,0.28,0,0,0,4,0,549,4,0,0,0,21,4.2,0,0,0,3,0,0,0,0.266,0.078947368,37.550647,-77.473743,0,,15,15,0.3218688
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,90,100437,100437,CR-ROB,X,-1,,,,,,0.324,0,0,36,1,3,,0,0,0,0,0,549,0,0,0,0,21,,0,0,0,3,,,,0,0.078947368,37.550752,-77.473908,,,15,15,
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,100,3472,3472,Cary/Addison,E,0,0.15530303,,,,,0.002,0,0,36,1,3,0.227777778,0,0,0,1,0,549,1,0,0,0,22,3.416666667,0,0,0,4,0,0,0,0.066,0.078947368,37.549457,-77.470417,0,,15,15,0.249936
2018-09,SAT,AM Early,1,5,5:5,EAST,,,,,110,3611,3611,Cary/Rowland,E,0,0.173106061,,,,,0.038666667,0,0,36,1,3,0.288510101,0,0,0,3,0,549,3,0,0,0,25,4.327651515,0,0,0,4,0,0,0,0.2,0.078947368,37.548527,-77.467836,0,,15,15,0.2785872
