ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SORT_ORDER,STOP_ID,STOP,LAT,LON
5,5:05,WEST,280,2965,8TH/GRACE,37.540293,-77.435842
5,5:05,WEST,290,3514,Main/5th,37.540357,-77.439737
5,5:05,WEST,290,2472,8TH/MAIN,37.538913,-77.437161
5,5:05,WEST,300,3412,Main/1st,37.542502,-77.443305
5,5:05,WEST,300,3514,Main/5th,37.540357,-77.439737
5,5:05,WEST,310,3416,Main/Monroe,37.545098,-77.44766
5,5:05,WEST,310,3412,Main/1st,37.542502,-77.443305
5,5:05,WEST,320,3414,Main/Laurel,37.545877,-77.450052
5,5:05,WEST,320,3416,Main/Monroe,37.545098,-77.44766
5,5:05,WEST,330,3414,Main/Laurel,37.545877,-77.450052
5,5:05,WEST,340,3415,Main/Harrison,37.545971,-77.455191
5,5:05,WEST,340,3414,Main/Laurel,37.545877,-77.450052
5,5:05,WEST,340,3414,Main/Laurel,37.54587953,-77.4501442
5,5:05,WEST,340,3414,Main/Laurel,37.54587967,-77.45014911
5,5:05,WEST,340,3414,Main/Laurel,37.54587957,-77.45014565
5,5:05,WEST,340,3414,Main/Laurel,37.54587978,-77.4501532
5,5:05,WEST,340,3414,Main/Laurel,37.54587934,-77.45013722
5,5:05,WEST,340,3414,Main/Laurel,37.54587947,-77.45014174
5,5:05,WEST,350,3417,Main/Plum,37.547005,-77.459501
5,5:05,WEST,350,3415,Main/Harrison,37.545971,-77.455191
5,5:05,WEST,360,3413,Main/Allen,37.548355,-77.463237
5,5:05,WEST,360,3417,Main/Plum,37.547005,-77.459501
5,5:05,WEST,370,3513,Main/Rowland,37.549663,-77.466966
5,5:05,WEST,370,3413,Main/Allen,37.548355,-77.463237
5,5:05,WEST,380,3418,Main/Stafford,37.55107,-77.470644
5,5:05,WEST,380,3513,Main/Rowland,37.549663,-77.466966
5,5:05,WEST,390,3418,Main/Stafford,37.55107,-77.470644
5,5:05,WEST,400,423,MAIN/BOULEVARD,37.552683,-77.475383
5,5:05,WEST,400,3418,Main/Stafford,37.55107,-77.470644
5,5:05,WEST,410,425,ELLWOOD/SHEPPARD,37.553585,-77.478065
5,5:05,WEST,410,423,MAIN/BOULEVARD,37.552683,-77.475383
5,5:05,WEST,420,426,ELLWOOD/BELMONT,37.554205,-77.479667
5,5:05,WEST,420,425,ELLWOOD/SHEPPARD,37.553585,-77.478065
5,5:05,WEST,430,428,ELLWOOD/DOOLEY,37.555382,-77.483002
5,5:05,WEST,430,426,ELLWOOD/BELMONT,37.554205,-77.479667
5,5:05,WEST,440,2746,ELLWOOD/NANSEMOND,37.55676,-77.486975
5,5:05,WEST,440,428,ELLWOOD/DOOLEY,37.555382,-77.483002
5,5:05,WEST,450,3609,Cary/Nansemond,37.555349,-77.486931
5,5:05,WEST,450,2746,ELLWOOD/NANSEMOND,37.55676,-77.486975
5,5:05,WEST,460,3609,Cary/Nansemond,37.555349,-77.486931
5,5:05,WEST,470,3609,Cary/Nansemond,37.555349,-77.486931
8,8:08,EAST,10,2616,TRANSFER PLAZA BAY G,37.542757,-77.432003
8,8:08,EAST,30,674,10TH/MARSHALL,37.540721,-77.432685
8,8:08,EAST,40,3105,BROAD/11TH,37.539237,-77.43153
8,8:08,EAST,50,100,BROAD/18TH,37.535568,-77.425369
8,8:08,EAST,60,101,BROAD/19TH,37.53498,-77.4244
8,8:08,EAST,70,2570,21ST/BROAD,37.534535,-77.42168
8,8:08,EAST,90,211,JEFFERSON/MARSHALL,37.534692,-77.420866
8,8:08,EAST,100,212,JEFFERSON/23RD,37.534815,-77.418836
8,8:08,EAST,110,213,JEFFERSON/25TH,37.535007,-77.41595
8,8:08,EAST,120,2716,25TH/CEDAR,37.535797,-77.414726
8,8:08,EAST,130,1802,25TH/Q,37.537467,-77.413142
8,8:08,EAST,140,1803,25TH/R,37.539237,-77.411468
8,8:08,EAST,150,3385,25th/S,37.540009,-77.410769
8,8:08,EAST,160,1804,NINE MILE/27TH,37.540842,-77.407343
8,8:08,EAST,170,1805,NINE MILE/29TH,37.541327,-77.403942
8,8:08,EAST,180,1806,NINE MILE/31ST,37.541638,-77.401732
8,8:08,EAST,190,1807,NINE MILE/BUNCHE PL,37.543425,-77.396233
8,8:08,EAST,210,1808,NINE MILE/GORDON LANE,37.543397,-77.388618
8,8:08,EAST,220,2717,NINE MILE/ECHO,37.542488,-77.385945
8,8:08,EAST,230,1810,NINE MILE/MASONIC,37.540592,-77.378065
8,8:08,EAST,240,1811,NINE MILE/MARLIN,37.541112,-77.374353
